time,close
1997-01-06,500.0
1997-01-07,500.0
1997-01-08,500.0
1997-01-09,500.0
1997-01-10,500.0
1997-01-13,500.0
1997-01-14,500.0
1997-01-15,500.0
1997-01-16,500.0
1997-01-17,500.0
1997-01-20,500.0
1997-01-21,500.0
1997-01-22,500.0
1997-01-23,500.0
1997-01-24,500.0
1997-01-27,500.0
1997-01-28,500.0
1997-01-29,500.0
1997-01-30,500.0
1997-01-31,500.0
1997-02-03,500.0
1997-02-04,500.0
1997-02-05,500.0
1997-02-06,500.0
1997-02-07,500.0
1997-02-10,500.0
1997-02-11,500.0
1997-02-12,500.0
1997-02-13,500.0
1997-02-14,500.0
1997-02-17,500.0
1997-02-18,500.0
1997-02-19,500.0
1997-02-20,500.0
1997-02-21,500.0
1997-02-24,500.0
1997-02-25,500.0
1997-02-26,500.0
1997-02-27,500.0
1997-02-28,500.0
1997-03-03,500.0
1997-03-04,500.0
1997-03-05,500.0
1997-03-06,500.0
1997-03-07,500.0
1997-03-10,500.0
1997-03-11,500.0
1997-03-12,500.0
1997-03-13,500.0
1997-03-14,500.0
1997-03-17,500.0
1997-03-18,500.0
1997-03-19,500.0
1997-03-20,500.0
1997-03-21,500.0
1997-03-24,500.0
1997-03-25,500.0
1997-03-26,500.0
1997-03-27,500.0
1997-03-28,500.0
1997-03-31,505.3
1997-04-01,504.52
1997-04-02,504.41
1997-04-03,506.48
1997-04-04,509.51
1997-04-07,509.01
1997-04-08,509.28
1997-04-09,509.17
1997-04-10,510.91
1997-04-11,510.92
1997-04-14,510.69
1997-04-15,513.38
1997-04-16,513.27
1997-04-17,515.09
1997-04-18,515.57
1997-04-21,516.21
1997-04-22,518.22
1997-04-23,518.11
1997-04-24,521.47
1997-04-25,523.54
1997-04-28,522.61
1997-04-29,524.8
1997-04-30,526.87
1997-05-05,526.07
1997-05-06,527.54
1997-05-07,527.43
1997-05-08,529.72
1997-05-12,530.5
1997-05-13,531.29
1997-05-14,531.17
1997-05-15,535.08
1997-05-16,535.52
1997-05-19,537.13
1997-05-20,538.39
1997-05-21,538.27
1997-05-22,541.15
1997-05-23,542.35
1997-05-26,542.89
1997-05-27,541.48
1997-05-28,541.36
1997-05-29,544.15
1997-05-30,547.83
1997-06-02,548.79
1997-06-03,553.02
1997-06-04,552.89
1997-06-05,557.19
1997-06-06,557.68
1997-06-09,558.67
1997-06-10,560.12
1997-06-11,560.0
1997-06-12,560.0
1997-06-13,562.74
1997-06-16,560.95
1997-06-17,560.39
1997-06-18,560.29
1997-06-19,562.0
1997-06-20,562.51
1997-06-23,563.03
1997-06-24,564.16
1997-06-25,564.06
1997-06-26,564.92
1997-06-27,564.13
1997-06-30,564.55
1997-07-01,564.84
1997-07-02,564.73
1997-07-03,566.87
1997-07-04,568.18
1997-07-07,569.15
1997-07-08,570.79
1997-07-09,570.68
1997-07-10,569.23
1997-07-11,570.55
1997-07-14,570.76
1997-07-15,569.67
1997-07-16,569.57
1997-07-17,570.81
1997-07-18,570.92
1997-07-21,570.55
1997-07-22,571.05
1997-07-23,570.94
1997-07-24,571.73
1997-07-25,572.6
1997-07-28,573.04
1997-07-29,573.46
1997-07-30,573.36
1997-07-31,573.97
1997-08-01,574.44
1997-08-04,574.1
1997-08-05,573.97
1997-08-06,573.87
1997-08-07,574.04
1997-08-08,573.91
1997-08-11,573.29
1997-08-12,573.45
1997-08-13,573.34
1997-08-14,571.67
1997-08-15,572.88
1997-08-18,573.89
1997-08-19,574.83
1997-08-20,574.73
1997-08-21,575.78
1997-08-22,576.26
1997-08-25,576.8
1997-08-26,577.49
1997-08-27,577.39
1997-08-28,578.13
1997-08-29,578.74
1997-09-01,578.42
1997-09-02,578.5
1997-09-03,578.4
1997-09-04,579.89
1997-09-05,580.14
1997-09-08,579.67
1997-09-09,579.36
1997-09-10,579.25
1997-09-11,579.63
1997-09-12,577.21
1997-09-15,578.32
1997-09-16,579.48
1997-09-17,579.38
1997-09-18,580.32
1997-09-19,580.48
1997-09-22,580.66
1997-09-23,580.5
1997-09-24,580.41
1997-09-25,580.8
1997-09-26,580.3
1997-09-29,580.98
1997-09-30,581.64
1997-10-01,581.54
1997-10-02,583.7
1997-10-03,584.78
1997-10-06,584.04
1997-10-07,584.06
1997-10-08,583.95
1997-10-09,584.06
1997-10-10,583.79
1997-10-13,584.15
1997-10-14,584.27
1997-10-15,584.18
1997-10-16,584.59
1997-10-17,584.52
1997-10-20,584.48
1997-10-21,584.53
1997-10-22,584.42
1997-10-23,584.57
1997-10-24,584.88
1997-10-27,584.66
1997-10-28,575.49
1997-10-29,575.38
1997-10-30,582.75
1997-10-31,583.58
1997-11-03,583.89
1997-11-04,584.38
1997-11-05,584.27
1997-11-06,581.14
1997-11-10,569.51
1997-11-11,569.44
1997-11-12,569.38
1997-11-13,571.03
1997-11-14,576.79
1997-11-17,576.2
1997-11-18,574.04
1997-11-19,574.17
1997-11-20,573.53
1997-11-21,573.97
1997-11-24,570.55
1997-11-25,568.34
1997-11-26,568.23
1997-11-27,570.34
1997-11-28,569.6
1997-12-01,551.28
1997-12-02,551.09
1997-12-03,552.99
1997-12-04,561.63
1997-12-05,567.1
1997-12-08,569.28
1997-12-09,570.71
1997-12-10,569.5
1997-12-11,566.55
1997-12-15,565.92
1997-12-16,568.32
1997-12-17,568.21
1997-12-18,573.45
1997-12-19,574.1
1997-12-22,573.75
1997-12-23,574.38
1997-12-24,573.87
1997-12-25,576.06
1997-12-26,576.6
1997-12-29,579.22
1997-12-30,584.32
1997-12-31,584.21
1998-01-05,583.68
1998-01-06,582.33
1998-01-08,582.12
1998-01-09,586.72
1998-01-12,583.9
1998-01-13,583.73
1998-01-14,583.5
1998-01-15,585.09
1998-01-16,586.14
1998-01-19,588.12
1998-01-20,589.9
1998-01-21,590.0
1998-01-22,588.75
1998-01-23,589.32
1998-01-26,581.78
1998-01-27,580.3
1998-01-28,580.2
1998-01-29,572.06
1998-01-30,562.31
1998-02-02,570.99
1998-02-03,571.29
1998-02-04,571.15
1998-02-05,574.45
1998-02-06,579.61
1998-02-09,590.19
1998-02-10,590.81
1998-02-11,590.65
1998-02-12,599.05
1998-02-13,595.86
1998-02-16,597.3
1998-02-17,600.2
1998-02-18,600.2
1998-02-19,604.6
1998-02-20,612.2
1998-02-23,611.88
1998-02-24,611.47
1998-02-25,611.56
1998-02-26,612.82
1998-02-27,616.24
1998-03-02,621.71
1998-03-03,621.71
1998-03-04,621.68
1998-03-05,630.6
1998-03-06,631.02
1998-03-10,630.42
1998-03-11,629.8
1998-03-12,638.12
1998-03-13,643.72
1998-03-16,641.68
1998-03-17,637.75
1998-03-18,637.52
1998-03-19,639.58
1998-03-20,641.06
1998-03-23,631.13
1998-03-24,639.49
1998-03-25,639.15
1998-03-26,643.46
1998-03-27,645.73
1998-03-30,641.06
1998-03-31,631.13
1998-04-01,643.93
1998-04-02,640.47
1998-04-03,639.17
1998-04-06,636.89
1998-04-07,636.04
1998-04-08,635.49
1998-04-09,638.2
1998-04-10,639.88
1998-04-13,639.5
1998-04-14,636.59
1998-04-15,636.32
1998-04-16,643.75
1998-04-17,641.39
1998-04-20,634.18
1998-04-21,633.5
1998-04-22,633.43
1998-04-23,641.03
1998-04-24,647.28
1998-04-27,655.23
1998-04-28,651.85
1998-04-29,651.86
1998-04-30,651.15
1998-05-05,647.91
1998-05-06,647.5
1998-05-07,645.47
1998-05-08,643.94
1998-05-12,638.01
1998-05-13,637.1
1998-05-14,633.68
1998-05-15,622.19
1998-05-18,598.41
1998-05-19,595.75
1998-05-20,596.35
1998-05-21,612.97
1998-05-22,599.11
1998-05-25,586.33
1998-05-26,556.9
1998-05-27,524.38
1998-05-28,540.74
1998-05-29,549.79
1998-06-01,551.5
1998-06-02,547.51
1998-06-03,548.36
1998-06-04,599.34
1998-06-05,593.19
1998-06-08,587.42
1998-06-09,589.67
1998-06-10,589.16
1998-06-11,556.7
1998-06-15,539.93
1998-06-16,542.1
1998-06-17,547.84
1998-06-18,586.5
1998-06-19,578.6
1998-06-22,582.89
1998-06-23,580.31
1998-06-24,580.07
1998-06-25,563.22
1998-06-26,533.71
1998-06-29,520.44
1998-06-30,528.11
1998-07-01,522.32
1998-07-02,522.88
1998-07-03,514.53
1998-07-06,500.65
1998-07-07,472.76
1998-07-08,470.1
1998-07-09,454.19
1998-07-10,450.47
1998-07-13,456.96
1998-07-14,569.21
1998-07-15,583.64
1998-07-16,576.28
1998-07-17,593.42
1998-07-20,607.61
1998-07-21,613.9
1998-07-22,604.99
1998-07-23,595.57
1998-07-24,567.33
1998-07-27,560.22
1998-07-28,541.63
1998-07-29,563.59
1998-07-30,565.54
1998-07-31,575.16
1998-08-03,560.75
1998-08-04,563.89
1998-08-05,559.54
1998-08-06,553.58
1998-08-07,524.68
1998-08-10,527.45
1998-08-11,499.36
1998-08-12,459.2
1998-08-13,421.32
1998-08-14,423.32
1998-08-17,421.09
1998-08-18,420.22
1998-08-19,418.86
1998-08-20,417.04
1998-08-21,414.15
1998-08-24,405.78
1998-08-25,404.06
1998-08-26,398.21
1998-08-27,395.62
1998-08-28,402.02
1998-08-31,279.77
1998-09-01,274.81
1998-09-02,268.15
